104200,168,4,100
node,10600,1,1
node,11000,2,1
node,11213,3,1
node,11585,1,1
node,11904,2,1
node,12091,1,1
node,12464,2,1
hold,12704,3,1,452
node,13449,1,1
node,13849,2,1
node,14062,3,1
node,14434,1,1
node,14753,2,1
node,14940,1,1
node,15313,2,1
node,15645,3,1
node,15990,1,1
node,16324,1,1
node,16724,2,1
node,16937,3,1
node,17309,1,1
node,17628,2,1
node,17815,1,1
node,18188,2,1
hold,18428,3,1,452
node,19173,1,1
node,19573,2,1
node,19786,3,1
node,20158,1,1
node,20477,2,1
node,20664,1,1
node,21037,2,1
node,21369,3,1
node,21714,1,1
